year;month;temp;prec
1965;8;15,1689458376311;38,4949925699575
1965;9;12,1;66,7268607757702
1965;10;7,67473888315852;1,84070997688931
1965;11;1,7;85,4027332122089
1965;12;2,8;118,508583275879
1966;1;-3,31263055842074;37,5199590864783
1966;2;5,64368472078963;57,9774474417919
1966;3;2,68736944157926;71,8183861153934
1966;4;10;65,780788246922
1966;5;13,0689458376311;88,979299108041
1966;6;16,8378916752622;90,941291078172
1966;7;15,2068375128933;107,805867399044
1966;8;15,5252611168415;152,659636642808
1966;9;13,3436847207896;29,1517825826730
1966;10;11,2;56,627479952228
1966;11;1,5;41,6150496510403
1966;12;1,45631527921037;134,974262805957
1967;1;-0,243684720789631;33,6088904706186
1967;2;2,24368472078963;50,0291249644256
1967;3;4,98736944157926;50,6161144021431
1967;4;6,7;45,9398074429493
1967;5;12,5126305584207;57,1633499852397
1967;6;14,8378916752622;50,4636986047503
1967;7;19,5689458376311;47,4616443154782
1967;8;17,0184236039482;91,1142329916964
1967;9;13,4873694415793;50,9142496786183
1967;10;11,3747388831585;51,6911430347605
1967;11;3,2;36,8078140107739
1967;12;-0,887369441579262;74,6607397675394
1968;1;-1,74368472078963;81,4038050973901
1968;2;0,95631527921037;42,9288776769365
1968;3;4,14368472078963;44,8681965453611
1968;4;8,94947776631705;77,1347484276473
1968;5;11,4689458376311;69,4087984012818
1968;6;16,0815763960518;65,7763969458883
1968;7;16,3252611168415;73,4232553360143
1968;8;15,6252611168415;168,096822078075
1968;9;12,9310541623689;136,179158613248
1968;10;9,51842360394815;51,1597399716962
1968;11;2,63105416236889;21,2938749372785
1968;12;-2,51263055842074;36,9690465783786
1969;1;-0,468945837631107;43,8384332259725
1969;2;-2,14368472078963;34,2610025784827
1969;3;2,28736944157926;40,932008282083
1969;4;7,24368472078963;45,3277637934633
1969;5;13,7126305584207;52,0696113927445
1969;6;14,3689458376311;116,862078088102
1969;7;18,7126305584207;32,1985105335157
1969;8;16,4563152792104;101,304542939759
1969;9;13,9873694415793;8,20786681200737
1969;10;9,27473888315852;3,52978138848799
1969;11;4,8;86,0948227854077
1969;12;-4,78736944157926;29,5371086971254
1970;1;-2,01263055842074;41,4586974871716
1970;2;-0,587369441579262;162,803396694436
1970;3;1;56,4975757280805
1970;4;5,7;83,971325174102
1970;5;11,4563152792104;71,4775616434083
1970;6;17,9126305584207;39,5480226307603
1970;7;16,6689458376311;73,3474672543332
1970;8;17;96,5118934304889
1970;9;13,7436847207896;33,9846514387668
1970;10;8,74368472078963;72,5917679113186
1970;11;5,5;48,1380725623245
1970;12;-0,8;44,0301390533503
1971;1;-2,29420695447258;29,5429792688238
1971;2;0,556315279210369;28,2582962489091
1971;3;0,8;29,4540141467189
1971;4;9,48736944157926;37,8428702943357
1971;5;14,6252611168415;68,7946730609446
1971;6;14,1252611168415;129,254731076357
1971;7;19,0252611168415;7,01614012396753
1971;8;18,7;55,4739431482132
1971;9;12,2747388831585;28,9242233509048
1971;10;8,50579304552742;26,6005724317594
1971;11;2,95631527921037;58,1794417928697
1971;12;2,35631527921037;17,8956414133011
1972;1;-2,35631527921037;23,8113468868636
1972;2;1,83105416236889;7,26591775286396
1972;3;5,80579304552742;45,5346622488333
1972;4;7,46894583763111;58,3241113086558
1972;5;11,4563152792104;71,7186439226455
