"year";"month";"temp";"prec"
1962;8;17;63
1962;9;12,3;77
1962;10;7,6;11
1962;11;1,5;42
1962;12;-6;64
1963;1;-7,9;21
1963;2;-7,4;26
1963;3;1,5;43
1963;4;8,6;31
1963;5;11,7;72
1963;6;16;100
1963;7;17,9;77
1963;8;16,1;126
1963;9;13,9;58
1963;10;7,5;22
1963;11;6,7;73
1963;12;-4,6;10
1964;1;-5,3;19
1964;2;-0,2;25
1964;3;0,6;46
1964;4;8,9;51
1964;5;13,2;163
1964;6;16,8;119
1964;7;18,6;12
1964;8;15,6;80
1964;9;13,1;36
1964;10;6,8;124
1964;11;4,8;82
1964;12;-2;28
1965;1;0,1;50
1965;2;-4,7;28
1965;3;1,2;67
1965;4;6;103
1965;5;10,7;138
1965;6;15,7;190
1965;7;15,7;148
1965;8;14,6;66
1965;9;11,9;77
1965;10;7,3;5
1965;11;1,8;61
1965;12;2,4;85
1966;1;-4;28
1966;2;5,2;63
1966;3;2,4;58
1966;4;9,7;71
1966;5;12,3;92
1966;6;16,3;92
1966;7;15;135
1966;8;14,9;152
1966;9;13,1;29
1966;10;11,1;124
1966;11;1,4;25
1966;12;0,9;90
1967;1;-1,1;34
1967;2;1,8;29
1967;3;4,6;66
1967;4;6;46
1967;5;12,1;85
1967;6;14,1;98
1967;7;18,4;64
1967;8;16,1;89
1967;9;12,9;107
1967;10;10,1;29
1967;11;2,5;24
1967;12;-1,4;33
1968;1;-2,6;65
1968;2;0,9;33
1968;3;3,6;27
1968;4;8,8;49
1968;5;11,5;77
1968;6;15,5;132
1968;7;15,7;96
1968;8;15,2;136
1968;9;12,7;99
1968;10;8,7;64
1968;11;2,7;10
1968;12;-3,9;25
1969;1;-1,6;34
1969;2;-2,1;32
1969;3;2,3;45
1969;4;7,2;41
1969;5;13,2;92
1969;6;13,5;132
1969;7;17,4;53
1969;8;15,6;119
1969;9;13,7;12
1969;10;8,1;5
1969;11;4,1;58
1969;12;-5,3;40
1970;1;-2,8;35
1970;2;-0,9;133
1970;3;1,1;25
1970;4;5,5;79
1970;5;10,5;87
1970;6;17;105
1970;7;16,4;79
1970;8;16,3;149
1970;9;12,8;53
1970;10;8;71
1970;11;5;54
1970;12;-1,7;23
1971;1;-4;20
1971;2;-0,5;32
1971;3;-0,6;25
1971;4;8,9;37
1971;5;13,6;119
1971;6;13,6;164
1971;7;17,4;48
1971;8;17,8;78
1971;9;11,1;53
1971;10;7,4;10
1971;11;2,7;58
1971;12;1,5;29
1972;1;-2,6;16
1972;2;1;10
1972;3;5,3;13
1972;4;7,4;100
1972;5;11,5;31
1972;6;14,6;57
1972;7;17,2;89
1972;8;15,9;37
1972;9;10;36
1972;10;5,4;49
1972;11;2,3;135
1972;12;-2;7
1973;1;-2,1;37
1973;2;-0,6;29
1973;3;2,2;30
1973;4;4,9;52
1973;5;12,8;61
1973;6;15,5;109
1973;7;16,3;86
1973;8;17,6;80
1973;9;13,6;35
1973;10;6,4;68
1973;11;2;114
1973;12;-1,7;37
1974;1;1,6;53
1974;2;2,3;66
1974;3;6,3;24
1974;4;7,6;33
1974;5;10,7;107
1974;6;13,6;90
1974;7;15,5;150
1974;8;17,8;57
1974;9;13;71
1974;10;4,2;109
1974;11;3,1;70
1974;12;3,1;93
1975;1;2,5;46
1975;2;0,4;13
1975;3;3,5;41
1975;4;6,5;43
1975;5;12,5;65
1975;6;14;136
1975;7;17;141
1975;8;17;127
1975;9;15,6;49
1975;10;6,7;55
1975;11;1,5;60
1975;12;-1,8;12
1976;1;0,8;56
1976;2;-0,4;18
1976;3;1,4;19
1976;4;6,9;30
1976;5;12,8;84
1976;6;16,8;46
1976;7;18,8;94
1976;8;14,8;76
1976;9;11,7;74
1976;10;8,8;37
1976;11;3,6;49
1976;12;-3,7;30
1977;1;-1,2;36
1977;2;3,2;94
1977;3;6,5;29
1977;4;5,8;60
1977;5;12;26
1977;6;15,7;133
1977;7;16,6;131
1977;8;15,6;105
1977;9;11,5;39
1977;10;9,1;42
1977;11;4,2;77
1977;12;-0,1;52
